group	item	variant	value	unit	notes	provenance	evidence
throughput	pp512	Q4_K_M_official	19.79	tok/s	clean unattended; sd 0.41	raw_log_and_ledger	experiments/throughput/20260911-072256/official-Q4_K_M.log; RESULTS.md section 3.1
throughput	tg128	Q4_K_M_official	9.08	tok/s	clean unattended; sd 0.02	raw_log_and_ledger	experiments/throughput/20260911-072256/official-Q4_K_M.log; RESULTS.md section 3.1
throughput	pp512	Q4_K_M_bartowski	18.85	tok/s	clean unattended; sd 0.04	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q4_K_M.log; RESULTS.md section 3.1
throughput	tg128	Q4_K_M_bartowski	8.67	tok/s	clean unattended; sd 0.06	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q4_K_M.log; RESULTS.md section 3.1
throughput	pp512	IQ4_XS	21.83	tok/s	clean unattended; sd 0.04	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-IQ4_XS.log; RESULTS.md section 3.1
throughput	tg128	IQ4_XS	6.98	tok/s	clean unattended; sd 0.02	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-IQ4_XS.log; RESULTS.md section 3.1
throughput	pp512	Q5_K_M	10.06	tok/s	clean unattended; sd 0.01	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q5_K_M.log; RESULTS.md section 3.1
throughput	tg128	Q5_K_M	6.49	tok/s	clean unattended; sd 0.07	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q5_K_M.log; RESULTS.md section 3.1
throughput	pp512	Q6_K	12.81	tok/s	clean unattended; sd 0.03	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q6_K.log; RESULTS.md section 3.1
throughput	tg128	Q6_K	7.20	tok/s	clean unattended; sd 0.01	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q6_K.log; RESULTS.md section 3.1
throughput	pp512	Q3_K_M	11.49	tok/s	clean unattended; sd 0.04	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q3_K_M.log; RESULTS.md section 3.1
throughput	tg128	Q3_K_M	8.26	tok/s	clean unattended; sd 0.01	raw_log_and_ledger	experiments/throughput/20260911-072256/bartowski-Q3_K_M.log; RESULTS.md section 3.1
throughput	pp512	Q8_0	15.67	tok/s	clean unattended; sd 0.20	raw_log_and_ledger	experiments/throughput/20260911-072256/official-Q8_0.log; RESULTS.md section 3.1
throughput	tg128	Q8_0	6.04	tok/s	clean unattended; sd 0.02	raw_log_and_ledger	experiments/throughput/20260911-072256/official-Q8_0.log; RESULTS.md section 3.1
thread_scaling	pp512	Q4_1T	10.16	tok/s	7 reps	ledger_only_no_raw	RESULTS.md section 3.2
thread_scaling	tg128	Q4_1T	4.98	tok/s	7 reps	ledger_only_no_raw	RESULTS.md section 3.2
thread_scaling	pp512	Q4_2T	19.94	tok/s	7 reps	ledger_only_no_raw	RESULTS.md section 3.2
thread_scaling	tg128	Q4_2T	8.89	tok/s	7 reps	ledger_only_no_raw	RESULTS.md section 3.2
